DATE,TIME,BLR1/1,BLR1/2,BLR2/1,BLR2/2,CONF1/1,CONF1/2,CONF2/1,CONF2/2,COMP1/1,COMP1/2,COMP2/1,COMP2/2,HTR1,HTR2,RT1,RT2,AT1,AT2,ST1,ST2,RH,HP 1/1,HP 1/2,HP 2/1,HP 2/2,LP 1/1,LP 1/2,LP 2/1,LP 2/2,BLR1/1 TOP,BLR1/2 TOP,BLR2/1 TOP,BLR2/2 TOP,CONF1/1 TOP,CONF1/2 TOP,CONF2/1 TOP,CONF2/2 TOP,HP 1/1 FAULT,HP 1/2 FAULT,HP 2/1 FAULT,HP 2/2 FAULT,LP 1/1 OK,LP 1/2 OK,LP 2/1 OK,LP 2/2 OK,OHP 1,OHP 2
"25/11/2011","00:19:01","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.5","28.0","31.2","21.9","26.8","60.4","04.3","04.3","14.9","47.7","03.6","05.7","15.4","47.4","01.3","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:02","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.6","28.3","31.2","21.9","26.9","60.4","03.5","03.5","15.0","48.0","03.0","04.5","15.3","47.3","01.2","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:03","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.6","28.4","31.2","21.9","26.9","60.4","02.8","02.8","15.1","47.8","02.1","03.5","15.3","47.8","01.1","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:04","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.6","28.6","31.2","21.9","26.9","60.5","02.3","02.3","15.2","47.6","01.8","02.9","14.7","47.6","01.1","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:05","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.1","31.2","21.9","26.9","60.5","02.0","02.0","15.2","47.5","04.3","02.4","14.8","47.4","01.1","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:06","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.0","31.2","21.9","26.9","60.5","01.7","01.7","15.2","47.4","03.4","02.0","16.2","48.1","01.1","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:07","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.0","31.2","21.9","26.9","60.5","01.0","01.0","15.2","47.4","02.8","01.8","16.0","47.9","01.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:08","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.0","31.2","21.9","27.0","60.6","01.0","01.0","15.2","48.1","02.2","02.8","15.8","47.6","01.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:09","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.0","31.2","21.9","27.0","60.6","01.0","01.0","15.3","47.9","01.9","02.3","15.7","47.5","01.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:10","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.0","29.0","31.2","21.9","27.0","60.6","01.0","01.0","17.0","47.7","04.3","02.0","15.6","47.5","01.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:11","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.1","29.0","31.2","21.9","27.0","60.6","01.0","01.0","16.6","47.5","03.4","01.7","15.6","47.5","01.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:12","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.2","29.0","31.2","21.9","27.0","60.6","01.0","01.0","16.2","48.4","02.8","01.5","15.5","47.4","01.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:13","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.3","29.0","31.2","21.9","27.0","60.7","02.9","02.9","15.9","48.0","02.3","01.4","15.5","47.3","01.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:14","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.4","29.0","31.2","21.9","27.0","60.7","02.4","02.4","15.8","47.8","02.0","01.3","15.5","47.9","01.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:15","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.4","29.0","31.2","21.9","27.0","60.6","02.0","02.0","15.7","47.6","01.7","01.2","15.4","47.8","03.7","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:16","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.5","29.0","31.2","22.0","27.0","58.8","01.7","01.7","15.6","47.4","01.5","04.1","18.0","47.6","03.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:17","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.5","29.0","31.2","21.9","27.0","59.3","01.5","01.5","15.4","47.3","01.4","03.3","17.1","47.5","02.4","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:18","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.5","29.0","31.2","21.9","27.0","59.7","01.4","01.4","15.4","47.3","01.3","02.7","19.2","47.4","02.1","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:19","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.5","29.0","31.3","21.9","27.0","60.1","01.0","01.0","17.9","47.4","01.2","02.2","18.1","47.4","01.7","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:20","ON","OFF","ON","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","OFF","23.5","29.2","31.3","21.9","27.0","60.2","01.0","01.0","17.3","47.4","01.1","01.8","17.3","47.3","01.5","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:21","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.5","29.4","31.3","22.0","27.0","60.2","01.0","01.0","16.8","47.8","01.1","01.9","16.7","47.3","01.4","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:22","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.5","29.3","31.3","22.0","27.0","60.4","01.0","01.0","16.4","47.6","01.1","01.1","16.3","47.2","01.3","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:23","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.5","29.2","31.3","21.9","27.0","60.5","01.0","01.0","16.1","47.6","01.1","02.9","16.1","47.2","04.2","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:24","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.5","29.2","32.2","21.9","27.0","60.5","01.0","01.0","15.9","47.4","01.0","02.5","18.3","48.0","03.4","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:25","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.2","32.0","21.9","27.0","60.6","01.0","01.0","15.8","47.5","03.7","02.1","17.5","48.8","02.8","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:26","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.2","31.8","21.6","27.0","60.6","01.0","01.0","15.7","48.4","03.0","01.8","16.9","48.3","02.3","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:27","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.2","31.6","21.7","27.0","60.6","02.1","02.1","15.2","48.0","02.5","01.6","16.4","48.4","01.9","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:28","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.2","31.4","21.7","27.0","60.6","04.8","04.8","15.2","48.2","01.8","04.5","16.1","45.0","05.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:29","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.2","31.4","21.7","27.0","60.6","03.8","03.8","17.0","47.9","02.4","03.5","15.8","46.5","03.9","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:30","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.5","29.2","31.3","21.4","27.0","60.6","03.1","03.1","16.6","47.8","02.1","02.9","15.7","46.6","06.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:31","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.2","31.7","21.1","27.0","60.6","02.5","02.5","16.2","47.6","01.7","02.3","15.5","44.2","04.5","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:32","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.2","31.5","21.3","27.0","60.7","02.0","02.0","19.8","49.2","01.5","02.0","15.5","45.0","03.5","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:33","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.2","31.4","21.4","27.0","60.8","04.7","04.7","18.6","50.0","01.4","04.5","15.4","45.9","02.8","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:34","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.1","31.4","21.6","27.0","60.9","03.8","03.8","17.7","49.3","01.3","03.6","15.3","46.3","02.3","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:35","ON","OFF","ON","OFF","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","OFF","23.6","29.1","31.3","22.0","27.0","60.9","03.0","03.0","17.2","48.9","01.2","02.9","17.3","46.4","02.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:36","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","23.6","29.1","31.3","22.0","27.0","60.9","04.9","04.9","16.7","48.5","01.2","02.4","19.0","46.6","05.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:37","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","23.6","30.6","31.2","22.0","27.0","60.9","03.9","03.9","16.3","48.1","01.1","02.0","18.1","46.8","04.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:38","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","23.6","30.2","31.8","21.9","27.0","60.9","03.1","03.1","16.0","47.9","01.1","01.8","17.4","46.8","03.2","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:39","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","23.6","29.9","31.6","21.9","27.0","60.9","02.5","02.5","15.8","47.8","01.1","01.5","16.8","47.6","02.6","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:40","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","23.8","29.7","31.6","21.9","27.0","60.9","02.1","02.1","15.7","47.7","01.1","01.4","16.4","48.5","02.2","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:41","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","23.8","29.5","31.4","21.9","27.0","60.9","01.8","01.8","15.6","47.7","01.1","01.3","16.2","48.2","01.9","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:42","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","23.8","29.4","31.4","21.9","26.9","60.8","01.6","01.6","15.5","47.6","00.8","01.2","15.9","48.0","03.4","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:43","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","23.7","29.3","31.4","21.9","27.9","60.8","01.4","01.4","15.5","47.4","01.0","01.1","15.7","47.8","02.7","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:44","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","23.7","29.3","31.3","21.9","27.7","60.8","01.3","01.3","15.4","47.3","01.0","04.4","15.6","47.7","02.2","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:45","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","OFF","OFF","OFF","OFF","OFF","23.7","29.2","31.3","21.9","27.5","60.9","00.4","00.4","15.3","47.8","01.0","03.5","18.2","47.5","01.9","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:46","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","OFF","ON","OFF","OFF","OFF","23.7","29.2","31.3","21.9","27.4","60.9","00.6","00.6","15.3","47.6","01.0","02.8","17.4","47.4","01.6","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:47","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","ON","ON","OFF","OFF","OFF","23.7","29.2","31.3","21.9","27.3","60.9","00.7","00.7","15.3","47.5","01.0","02.3","16.9","47.4","04.6","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:48","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","ON","ON","OFF","OFF","OFF","23.7","29.2","30.9","21.9","27.3","56.5","00.8","00.8","16.8","47.4","01.0","02.0","17.3","47.3","03.7","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"25/11/2011","00:19:49","ON","OFF","ON","OFF","ON","ON","ON","ON","ON","ON","ON","OFF","OFF","OFF","23.7","29.2","30.9","21.9","27.2","57.6","00.9","00.9","18.8","46.4","02.1","01.8","16.8","48.2","03.0","OK","N_OK","OK","N_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
